TWT,DEPTH1,CALI2,RHOB2,GR2,INDUCTION2,NPHI2,PWAVE2,,TWT3,RHOB3,PWAVE3
-242.78,232,,,,,,0,,-1068.85,2.425499916,73.10600281
-243.87,233,,,,,,0,,-1069.87,2.359200001,79.00700378
-244.97,234,,,,,,0,,-1070.87,2.480099917,68.24539948
-246.06,235,,,,,,0,,-1071.8,2.471899986,68.97460175
-247.16,236,,,,,,0,,-1072.71,2.424400091,73.20210266
-248.26,237,,,,,,0,,-1073.66,2.456199884,70.37139893
-249.35,238,,,,,,0,,-1074.55,2.400700092,75.31140137
-250.45,239,,,,,,0,,-1075.47,2.401000023,75.28230286
-251.55,240,,,,,,0,,-1076.37,2.264300108,87.45639801
-252.64,241,,,,,,0,,-1077.3,2.010499954,110.0502014
-253.74,242,,,,,,0,,-1078.19,2.044800043,106.9909973
-254.84,243,,,,,,0,,-1079.07,2.078900099,103.9605026
-255.93,244,,,,,,0,,-1079.99,2.094099999,102.6041031
-257.03,245,,,,,,0,,-1080.84,2.292399883,84.95339966
-258.13,246,,,,,,0,,-1081.43,2.503000021,66.20709992
-259.22,247,,,,,,0,,-1081.76,2.319000006,82.58380127
-260.32,248,,,,,,0,,-1082.07,2.161299944,96.62180328
-261.41,249,,,,,,0,,-1082.42,2.206599951,92.59079742
-262.51,250,,,,,,0,,-1082.76,2.41140008,74.36489868
-263.61,251,,,,,,0,,-1083.19,2.261100054,87.73989868
-264.7,252,,,,,,0,,-1083.76,2.209700108,92.31620026
-265.8,253,,,,,,0,,-1084.32,2.119100094,100.3843994
-266.9,254,,,,,,0,,-1084.85,2.055999994,105.9996033
-267.99,255,,,,,,0,,-1085.37,2.074300051,104.3711014
-269.09,256,,,,,,0,,-1085.78,2.19630003,93.51100159
-270.19,257,,,,,,0,,-1086.07,2.408600092,74.60990143
-271.28,258,,,,,,0,,-1086.46,2.110800028,101.1175995
-272.38,259,,,,,,0,,-1086.95,1.959300041,114.6057968
-273.47,260,,,,,,0,,-1087.41,2.048300028,106.6812973
-274.57,261,,,,,,0,,-1087.75,2.142699957,98.28359985
-275.67,262,,,,,,0,,-1088.17,1.99150002,111.7385025
-276.76,263,,,,,,0,,-1088.63,2.159199953,96.81269836
-277.86,264,,,,,,0,,-1089.14,2.151299954,97.51380158
-278.96,265,,,,,,0,,-1089.69,2.25819993,88.00170136
-280.05,266,,,,,,0,,-1090.22,2.358400106,79.08119965
-281.15,267,,,,,,0,,-1090.69,2.230499983,90.46340179
-282.25,268,,,,,,0,,-1091.03,2.271600008,86.80220032
-283.34,269,,,,,,0,,-1091.71,2.235899925,89.98300171
-284.44,270,,,,,,0,,-1092.65,2.256700039,88.13009644
-285.53,271,,,,,,0,,-1093.54,2.236000061,89.97019959
-286.63,272,,,,,,0,,-1094.38,2.155400038,97.14820099
-287.73,273,,,,,,0,,-1095.3,2.167599917,96.05960083
-288.82,274,,,,,,0,,-1096.13,2.134500027,99.01360321
-289.92,275,,,,,,0,,-1096.96,2.004699945,110.5625
-291.02,276,,,,,,0,,-1097.72,2.003400087,110.6763001
-292.11,277,,,,,,0,,-1098.43,2.145400047,98.04329681
-293.21,278,,,,,,0,,-1099.22,2.098700047,102.1967011
-294.31,279,,,,,,0,,-1099.98,2.070899963,104.6690979
-295.4,280,,,,,,0,,-1100.76,2.125999928,99.77059937
-296.5,281,,,,,,0,,-1101.53,2.163100004,96.46089935
-297.59,282,,,,,,0,,-1102.31,2.201100111,93.07900238
-298.69,283,,,,,,0,,-1103.14,2.274399996,86.55319977
-299.79,284,,,,,,0,,-1103.94,2.295399904,84.68659973
-300.88,285,,,,,,0,,-1104.77,2.338000059,80.89790344
-301.98,286,,,,,,0,,-1105.63,2.055500031,106.043602
-303.08,287,,,,,,0,,-1106.42,2.148600102,97.75469971
-304.17,288,,,,,,0,,-1107.13,2.184700012,94.54149628
-305.27,289,,,,,,0,,-1107.86,1.982800007,112.512001
-306.37,290,,,,,,0,,-1108.61,2.110300064,101.1654968
-307.46,291,,,,,,0,,-1109.33,2.140700102,98.46060181
-308.56,292,,,,,,0,,-1110.03,2.217200041,91.64929962
-309.65,293,,,,,,0,,-1110.52,2.246599913,89.03250122
-310.75,294,,,,,,0,,-1110.76,2.306400061,83.70829773
-311.85,295,,,,,,0,,-1110.99,2.398499966,75.50849915
-312.94,296,,,,,,0,,-1111.2,2.363399983,78.63279724
-314.04,297,,,,,,0,,-1111.57,2.369100094,78.12509918
-315.14,298,,,,,,0,,-1111.89,2.404999971,74.92720032
-316.23,299,,,,,,0,,-1112.18,2.413800001,74.14859772
-317.33,300,,,,,,0,,-1112.6,2.399399996,75.4285965
-318.43,301,,,,,,0,,-1112.94,2.298000097,84.45629883
-319.52,302,,,,,,0,,-1113.26,2.263900042,87.49510193
-320.62,303,,,,,,0,,-1113.54,2.258500099,87.97460175
-321.71,304,,,,,,0,,-1113.8,2.154700041,97.2161026
-322.81,305,,,,,,0,,-1114.02,2.112499952,100.9669037
-323.91,306,,,,,,0,,-1114.19,2.102999926,101.8100967
-325,307,,,,,,0,,-1114.38,2.100199938,102.0622025
-326.1,308,,,,,,0,,-1114.57,2.094799995,102.5445023
-327.2,309,,,,,,0,,-1114.74,2.088200092,103.1345978
-328.29,310,,,,,,0,,-1114.9,2.103499889,101.7684021
-329.39,311,,,,,,0,,-1115.07,2.161200047,96.63480377
-330.49,312,,,,,,0,,-1115.3,2.245800018,89.10520172
-331.58,313,,,,,,0,,-1115.55,2.229300022,90.57089996
-332.68,314,,,,,,0,,-1115.81,2.160900116,96.66359711
-333.78,315,,,,,,0,,-1116.12,2.103399992,101.7789002
-334.87,316,,,,,,0,,-1116.46,2.105400085,101.5968018
-335.97,317,,,,,,0,,-1116.8,2.100899935,102.0038986
-337.06,318,,,,,,0,,-1117.16,2.072999954,104.4869003
-338.16,319,,,,,,0,,-1117.87,2.203000069,92.90840149
-339.26,320,,,,,,0,,-1118.61,2.08949995,103.0140991
-340.35,321,,,,,,0,,-1119.33,2.087800026,103.1673966
-341.45,322,,,,,,0,,-1120.02,2.180399895,94.92759705
-342.55,323,,,,,,0,,-1120.67,2.152199984,97.43540192
-343.64,324,,,,,,0,,-1121.32,2.194600105,93.66429901
-344.74,325,,,,,,0,,-1122.01,2.095400095,102.4924011
-345.84,326,,,,,,0,,-1122.74,2.006900072,110.3723984
-346.93,327,,,,,,0,,-1123.46,2.108599901,101.3124008
-348.03,328,,,,,,0,,-1124.19,2.114300013,100.8047028
-349.12,329,,,,,,0,,-1124.93,2.191999912,93.88819885
-350.22,330,,,,,,0,,-1125.6,2.230900049,90.42649841
-351.32,331,,,,,,0,,-1126.34,2.156899929,97.01580048
-352.41,332,,,,,,0,,-1127.07,2.2421,89.42819977
-353.51,333,,,,,,0,,-1127.81,2.197599888,93.38999939
-354.61,334,,,,,,0,,-1128.62,2.114900112,100.7585983
-355.7,335,,,,,,0,,-1129.41,2.083499908,103.5490036
-356.8,336,,,,,,0,,-1130.24,2.178999901,95.04979706
-357.9,337,,,,,,0,,-1131.12,2.176800013,95.24700165
